date,portfolio,cash,position_value
2014/1/2,1000000,1000000,0
2014/1/3,1000000,1000000,0
2014/1/6,999972.7395,999015.8017,956.937799
2014/1/7,999972.7395,999972.7395,0
2014/1/8,999972.7395,999972.7395,0
2014/1/9,999972.7395,999972.7395,0
2014/1/10,999972.7395,999972.7395,0
2014/1/13,999972.7395,999972.7395,0
2014/1/14,999972.7395,999972.7395,0
2014/1/15,999972.7395,999972.7395,0
2014/1/16,999972.7395,999972.7395,0
2014/1/17,999967.5105,999010.5988,956.9117124
2014/1/20,999963.8904,999963.8904,0
2014/1/21,999963.8904,999963.8904,0
2014/1/22,999963.8904,999963.8904,0
2014/1/23,1000002.167,999045.2633,956.9032444
2014/1/24,999992.3521,999992.3521,0
2014/1/27,999983.9764,999027.0459,956.9304805
2014/1/28,999983.9764,999983.9764,0
2014/1/29,999996.9831,999040.0606,956.9224654
2014/1/30,999996.9831,999996.9831,0
2014/2/7,999996.9831,999996.9831,0
2014/2/10,999996.9831,999996.9831,0
2014/2/11,999996.9831,999996.9831,0
2014/2/12,1000010.71,998096.8398,1913.869824
2014/2/13,1000003.142,1000003.142,0
2014/2/14,1000016.186,999059.2451,956.9408059
2014/2/17,1000060.294,999103.4252,956.8688636
2014/2/18,1000062.313,1000062.313,0
2014/2/19,1000062.313,1000062.313,0
2014/2/20,1000062.313,1000062.313,0
2014/2/21,1000062.313,1000062.313,0
2014/2/24,1000062.313,1000062.313,0
2014/2/25,1000050.987,999093.9899,956.9974284
2014/2/26,1000053.819,1000053.819,0
2014/2/27,1000053.819,1000053.819,0
2014/2/28,1000053.819,1000053.819,0
2014/3/3,1000053.819,1000053.819,0
2014/3/4,1000053.819,1000053.819,0
2014/3/5,1000053.819,1000053.819,0
2014/3/6,1000053.819,1000053.819,0
2014/3/7,1000053.819,1000053.819,0
2014/3/10,1000053.819,1000053.819,0
2014/3/11,1000053.819,1000053.819,0
2014/3/12,1000053.819,1000053.819,0
2014/3/13,1000053.819,1000053.819,0
2014/3/14,1000053.819,1000053.819,0
2014/3/17,1000098.215,999141.2258,956.9893002
2014/3/18,1000104.792,1000104.792,0
2014/3/19,1000104.792,1000104.792,0
2014/3/20,1000104.792,1000104.792,0
2014/3/21,1000125.242,999168.2038,957.0380788
2014/3/24,1000064.312,998150.3447,1913.967354
2014/3/25,1000025.502,1000025.502,0
2014/3/26,1000025.502,1000025.502,0
2014/3/27,1000025.502,1000025.502,0
2014/3/28,1000025.502,1000025.502,0
2014/3/31,1000018.555,999061.5927,956.9622029
2014/4/1,1000043.945,999087.0659,956.8789375
2014/4/2,1000043.945,1000043.945,0
2014/4/3,1000043.945,1000043.945,0
2014/4/4,1000043.945,1000043.945,0
2014/4/8,1000078.747,996250.8274,3827.919406
2014/4/9,1000082.712,1000082.712,0
2014/4/10,1000082.712,1000082.712,0
2014/4/11,1000108.964,999151.9474,957.0169493
2014/4/14,1000097.031,1000097.031,0
2014/4/15,1000097.031,1000097.031,0
2014/4/16,1000097.031,1000097.031,0
2014/4/17,1000097.031,1000097.031,0
2014/4/18,1000097.031,1000097.031,0
2014/4/21,1000097.031,1000097.031,0
2014/4/22,1000097.031,1000097.031,0
2014/4/23,1000097.031,1000097.031,0
2014/4/24,1000097.031,1000097.031,0
2014/4/25,1000097.031,1000097.031,0
2014/4/28,1000097.031,1000097.031,0
2014/4/29,1000097.031,1000097.031,0
2014/4/30,1000099.576,997228.4842,2871.091956
2014/5/5,1000139.309,997269.0815,2870.227045
2014/5/6,1000108.106,996280.9225,3827.183183
2014/5/7,1000098.86,1000098.86,0
2014/5/8,1000098.86,1000098.86,0
2014/5/9,1000098.86,1000098.86,0
2014/5/12,1000098.86,1000098.86,0
2014/5/13,1000098.86,1000098.86,0
2014/5/14,1000106.248,999149.2154,957.0324017
2014/5/15,1000099.996,1000099.996,0
2014/5/16,1000106.597,999149.5632,957.0334894
2014/5/19,1000106.597,1000106.597,0
2014/5/20,1000106.597,1000106.597,0
2014/5/21,1000106.597,1000106.597,0
2014/5/22,1000110.522,997239.4021,2871.119416
2014/5/23,1000140.23,999183.4429,956.7867391
2014/5/26,1000148.092,999191.0584,957.0337858
2014/5/27,1000130.659,999173.6651,956.9937329
2014/5/28,1000141.983,999184.9778,957.0052242
2014/5/29,1000112.578,999155.5991,956.9784253
2014/5/30,1000112.578,1000112.578,0
2014/6/3,1000112.578,1000112.578,0
2014/6/4,1000112.578,1000112.578,0
2014/6/5,1000112.578,1000112.578,0
2014/6/6,1000108.952,999151.9068,957.0455287
2014/6/9,1000105.327,1000105.327,0
2014/6/10,1000105.327,1000105.327,0
2014/6/11,1000105.327,1000105.327,0
2014/6/12,1000105.327,1000105.327,0
2014/6/13,1000130.31,999173.2715,957.0385906
2014/6/16,1000141.713,999184.7355,956.9775355
2014/6/17,1000138.125,1000138.125,0
2014/6/18,1000138.125,1000138.125,0
2014/6/19,1000103.699,999146.6285,957.0699765
2014/6/20,1000127.449,997256.542,2870.907499
2014/6/23,1000145.4,999188.6166,956.7832697
2014/6/24,1000145.4,1000145.4,0
2014/6/25,1000145.4,1000145.4,0
2014/6/26,1000145.4,1000145.4,0
2014/6/27,1000145.4,1000145.4,0
2014/6/30,1000332.156,998418.0026,1914.153875
2014/7/1,1000363.54,1000363.54,0
2014/7/2,1000378.655,999421.3692,957.2856841
2014/7/3,1000386.857,998472.4514,1914.406091
2014/7/4,1000385.199,998470.9475,1914.251093
2014/7/7,1000388.354,1000388.354,0
2014/7/8,1000388.354,999431.0441,957.3094293
2014/7/9,1000391.847,1000391.847,0
2014/7/10,1000394.883,998480.2573,1914.625545
2014/7/11,1000406.524,999449.3419,957.1815856
2014/7/14,1000405.491,1000405.491,0
2014/7/15,1000405.491,1000405.491,0
2014/7/16,1000405.491,1000405.491,0
2014/7/17,1000405.491,1000405.491,0
2014/7/18,1000400.936,999443.6106,957.3258287
2014/7/21,1000403.322,1000403.322,0
2014/7/22,1000403.322,1000403.322,0
2014/7/23,1000403.322,1000403.322,0
2014/7/24,1000410.715,999453.3908,957.3237532
2014/7/25,1000424.468,999467.2288,957.2392174
2014/7/28,1000426.961,1000426.961,0
2014/7/29,1000437.645,999480.2991,957.346374
2014/7/30,1000435.509,1000435.509,0
2014/7/31,1000483.388,997611.3245,2872.063661
2014/8/1,1000459.232,1000459.232,0
2014/8/4,1000459.232,1000459.232,0
2014/8/5,1000459.232,1000459.232,0
2014/8/6,1000466.022,999508.645,957.3772558
2014/8/7,1000459.232,1000459.232,0
2014/8/8,1000459.232,1000459.232,0
2014/8/11,1000514.333,999556.9559,957.3772558
2014/8/12,1000510.771,999553.3996,957.3709944
2014/8/13,1000505.474,997633.5271,2871.946707
2014/8/14,1000487.581,999530.4441,957.1367446
2014/8/15,1000509.157,998594.5219,1914.635004
2014/8/18,1000515.162,1000515.162,0
2014/8/19,1000521.781,998606.9197,1914.861553
2014/8/20,1000517.729,1000517.729,0
2014/8/21,1000517.729,1000517.729,0
2014/8/22,1000517.729,1000517.729,0
2014/8/25,1000509.604,999552.1707,957.4332337
2014/8/26,1000508.25,1000508.25,0
2014/8/27,1000488.441,999531.0167,957.4241624
2014/8/28,1000484.246,998569.594,1914.651817
