,Code
1,000001.SZ
2,000002.SZ
3,000004.SZ
4,000005.SZ
5,000006.SZ
6,000007.SZ
7,000008.SZ
8,000009.SZ
9,000010.SZ
10,000011.SZ
11,000012.SZ
12,000014.SZ
13,000016.SZ
14,000017.SZ
15,000018.SZ
16,000019.SZ
17,000020.SZ
18,000021.SZ
19,000022.SZ
20,000023.SZ
21,000025.SZ
22,000026.SZ
23,000027.SZ
24,000028.SZ
25,000029.SZ
26,000030.SZ
27,000031.SZ
28,000032.SZ
29,000033.SZ
30,000034.SZ
31,000035.SZ
32,000036.SZ
33,000037.SZ
34,000038.SZ
35,000039.SZ
36,000040.SZ
37,000042.SZ
38,000043.SZ
39,000045.SZ
40,000046.SZ
41,000048.SZ
42,000049.SZ
43,000050.SZ
44,000055.SZ
45,000056.SZ
46,000058.SZ
47,000059.SZ
48,000060.SZ
49,000061.SZ
50,000062.SZ
51,000063.SZ
52,000065.SZ
53,000066.SZ
54,000068.SZ
55,000069.SZ
56,000070.SZ
57,000078.SZ
58,000088.SZ
59,000089.SZ
60,000090.SZ
61,000096.SZ
62,000099.SZ
63,000100.SZ
64,000150.SZ
65,000151.SZ
66,000153.SZ
67,000155.SZ
68,000156.SZ
69,000157.SZ
70,000158.SZ
71,000159.SZ
72,000166.SZ
73,000301.SZ
74,000333.SZ
75,000338.SZ
76,000400.SZ
77,000401.SZ
78,000402.SZ
79,000403.SZ
80,000404.SZ
81,000407.SZ
82,000408.SZ
83,000409.SZ
84,000410.SZ
85,000411.SZ
86,000413.SZ
87,000415.SZ
88,000416.SZ
89,000417.SZ
90,000418.SZ
91,000419.SZ
92,000420.SZ
93,000421.SZ
94,000422.SZ
95,000423.SZ
96,000425.SZ
97,000426.SZ
98,000428.SZ
99,000429.SZ
100,000430.SZ
101,000488.SZ
102,000498.SZ
103,000501.SZ
104,000502.SZ
105,000503.SZ
106,000504.SZ
107,000505.SZ
108,000506.SZ
109,000507.SZ
110,000509.SZ
111,000510.SZ
112,000511.SZ
113,000513.SZ
114,000514.SZ
115,000516.SZ
116,000517.SZ
117,000518.SZ
118,000519.SZ
119,000520.SZ
120,000521.SZ
121,000523.SZ
122,000524.SZ
123,000525.SZ
124,000526.SZ
125,000528.SZ
126,000529.SZ
127,000530.SZ
128,000531.SZ
129,000532.SZ
130,000533.SZ
131,000534.SZ
132,000536.SZ
133,000537.SZ
134,000538.SZ
135,000539.SZ
136,000540.SZ
137,000541.SZ
138,000543.SZ
139,000544.SZ
140,000545.SZ
141,000546.SZ
142,000547.SZ
143,000548.SZ
144,000550.SZ
145,000551.SZ
146,000552.SZ
147,000553.SZ
148,000554.SZ
149,000555.SZ
150,000557.SZ
151,000558.SZ
152,000559.SZ
153,000560.SZ
154,000561.SZ
155,000563.SZ
156,000564.SZ
157,000565.SZ
158,000566.SZ
159,000567.SZ
160,000568.SZ
161,000570.SZ
162,000571.SZ
163,000572.SZ
164,000573.SZ
165,000576.SZ
166,000581.SZ
167,000582.SZ
168,000584.SZ
169,000585.SZ
170,000586.SZ
171,000587.SZ
172,000589.SZ
173,000590.SZ
174,000591.SZ
175,000592.SZ
176,000593.SZ
177,000595.SZ
178,000596.SZ
179,000597.SZ
180,000598.SZ
181,000599.SZ
182,000600.SZ
183,000601.SZ
184,000603.SZ
185,000605.SZ
186,000606.SZ
187,000607.SZ
188,000608.SZ
189,000609.SZ
190,000610.SZ
191,000611.SZ
192,000612.SZ
193,000613.SZ
194,000615.SZ
195,000616.SZ
196,000617.SZ
197,000619.SZ
198,000620.SZ
199,000622.SZ
200,000623.SZ
201,000625.SZ
202,000626.SZ
203,000627.SZ
204,000628.SZ
205,000629.SZ
206,000630.SZ
207,000631.SZ
208,000632.SZ
209,000633.SZ
210,000635.SZ
211,000636.SZ
212,000637.SZ
213,000638.SZ
214,000639.SZ
215,000650.SZ
216,000651.SZ
217,000652.SZ
218,000655.SZ
219,000656.SZ
220,000657.SZ
221,000659.SZ
222,000661.SZ
223,000662.SZ
224,000663.SZ
225,000665.SZ
226,000666.SZ
227,000667.SZ
228,000668.SZ
229,000669.SZ
230,000670.SZ
231,000671.SZ
232,000672.SZ
233,000673.SZ
234,000676.SZ
235,000677.SZ
236,000678.SZ
237,000679.SZ
238,000680.SZ
239,000681.SZ
240,000682.SZ
241,000683.SZ
242,000685.SZ
243,000686.SZ
244,000687.SZ
245,000688.SZ
246,000690.SZ
247,000691.SZ
248,000692.SZ
249,000693.SZ
250,000695.SZ
251,000697.SZ
252,000698.SZ
253,000700.SZ
254,000701.SZ
255,000702.SZ
256,000703.SZ
257,000705.SZ
258,000707.SZ
259,000708.SZ
260,000709.SZ
261,000710.SZ
262,000711.SZ
263,000712.SZ
264,000713.SZ
265,000715.SZ
266,000716.SZ
267,000717.SZ
268,000718.SZ
269,000719.SZ
270,000720.SZ
271,000721.SZ
272,000722.SZ
273,000723.SZ
274,000725.SZ
275,000726.SZ
276,000727.SZ
277,000728.SZ
278,000729.SZ
279,000731.SZ
280,000732.SZ
281,000733.SZ
282,000735.SZ
283,000736.SZ
284,000737.SZ
285,000738.SZ
286,000739.SZ
287,000750.SZ
288,000751.SZ
289,000752.SZ
290,000753.SZ
291,000755.SZ
292,000756.SZ
293,000757.SZ
294,000758.SZ
295,000759.SZ
296,000760.SZ
297,000761.SZ
298,000762.SZ
299,000766.SZ
300,000767.SZ
301,000768.SZ
302,000776.SZ
303,000777.SZ
304,000778.SZ
305,000779.SZ
306,000780.SZ
307,000782.SZ
308,000783.SZ
309,000785.SZ
310,000786.SZ
311,000788.SZ
312,000789.SZ
313,000790.SZ
314,000791.SZ
315,000792.SZ
316,000793.SZ
317,000795.SZ
