,totalReturn,annualizedReturn,annualizedVolatility,sharpeRatio(Daily),sharpeRatio(Annualized),maxDrawdown,maxDailyDrop,VaR,calmarRatio,totalExcessRtn,annualizedExcessRtn,annulizedTrackingError,informationRatio(Annualized)
result_eventCombo_AltD-0_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,1.4295025839578093,0.18286646040104726,0.09088395087077399,0.046886780473415005,2.0120653490923757,-0.1589897193498523,-0.08718069803161299,0.013003319294413921,1.150170658695225,0.13453973275757738,0.02416822223822135,0.028954699621096012,0.8346620028000742
result_eventCombo_AltD-10_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,1.6917094315444507,0.20602603163051536,0.0691536591844227,0.09060029237861546,2.979206810651499,-0.0705637789262501,-0.029045754895953735,0.009710039214013921,2.9196723176280464,0.32782676320348303,0.05510826497034005,0.024763321124435328,2.2253089310800407
result_eventCombo_AltD-11_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,1.2780452268189744,0.16854900397280526,0.034773527835836544,0.08398558093054179,4.846909921207003,-0.06227635481699201,-0.03192383557950684,0.0049013291641592325,2.706425224194295,0.13860543133750725,0.0248615730738162,0.015972660179134405,1.55641054054046
result_eventCombo_AltD-12_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,1.1561954196474429,0.15645885191326458,0.03157764781308841,0.054660362604477306,4.954577309305088,-0.06295994991356768,-0.0334436936662712,0.004513412025194669,2.4850141576334237,0.07218269366969125,0.013273135166592454,0.013872641755064134,0.9567160087399198
result_eventCombo_AltD-13_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,1.2235564237594623,0.1632090138520732,0.027271404294934413,0.08811295339903351,5.984401378296805,-0.03209583583834419,-0.009644225412300145,0.003834460896279843,5.084894183154872,0.06552920045687953,0.012080523423012357,0.012505832182726844,0.9659139298036429
result_eventCombo_AltD-14_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,1.998256272265385,0.2308876445459167,0.07441333870019295,0.11115901828264801,3.102730583633044,-0.08200423484078667,-0.039224914892434626,0.01032515452491623,2.8155232406100112,0.1532054297326596,0.027334976560676072,0.018819366539570552,1.4524146755167187
result_eventCombo_AltD-15_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,1.7752887476069137,0.21302321954192105,0.06709508864330485,0.10199065682621107,3.1748977302446297,-0.08649937867147062,-0.04524118267577926,0.009368610534106031,2.4626853987655424,0.13056260511473333,0.02348802400739891,0.017005390040531688,1.3811293255899346
result_eventCombo_AltD-16_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,1.6288497020355692,0.20064645588039376,0.062092396184232394,0.09382909955445506,3.2313654625215147,-0.05004035645628502,-0.04192510136720884,0.008687773654263167,4.009612650202117,0.08897875656593995,0.016257284774419567,0.015111385022562856,1.075759038043788
result_eventCombo_AltD-17_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,1.4348253238376723,0.18335631198003433,0.05408885597388279,0.07955310789679118,3.389846555860079,-0.051680054087607674,-0.02420048441603484,0.0076313318154500025,3.5478438901268534,0.17284577177739457,0.030622527168390645,0.0181010265356497,1.6916629255892077
result_eventCombo_AltD-18_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,1.4103756921926565,0.18109900044152138,0.04715414494759057,0.08683466001228134,3.8404929227298403,-0.05262989650050243,-0.0201428335295617,0.006636643800204732,3.440925625118177,0.11297707998316331,0.020456956014069272,0.02019272294167247,1.0130353909062297
