,Total PnL,Total Cases,Total PnL from Win,Total PnL from Lose,Win Cases,Win Rate,Lose Cases,Lose Rate,Max Win(amount),Max Win(rate),Max Lose(amount),Max Lose(rate),Avg PnL(amount),Avg PnL(rate),Avg Win(amount),Avg Win(rate),Avg Lose(amount),Avg Lose(rate),HHI for Win(rate),HHI for Lose(rate)
historyTrade_eventCombo_AltD-0_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,441638.23697906546,1772,770125.6804335337,-328487.44345446833,855,0.48250564334085777,911,0.5141083521444695,6653.074926960002,0.8016949152542373,-2595.856884659999,-0.25954063604240274,249.23151071053357,0.03199251434389555,900.7317899807413,0.1119815198560736,-360.5789719588017,-0.04286878601488474,0.0013797939836569294,0.0007553113928075486
historyTrade_eventCombo_AltD-10_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,680344.4407111863,3951,1418880.9462446598,-738536.5055334738,1616,0.40901037711971655,2327,0.5889648190331561,10321.557249599995,1.2582417582417575,-1752.6229479899998,-0.2089407191448007,172.19550511546097,0.021850971725839483,878.020387527636,0.10808974380600654,-317.3770973500102,-0.03796297236859251,0.0007553053766100657,0.00018370684982248742
historyTrade_eventCombo_AltD-11_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,280370.45688279,744,438759.48634463,-158389.02946184,336,0.45161290322580644,403,0.5416666666666666,16801.349778720003,2.0363223609534624,-1962.722992500003,-0.2083333333333336,376.8420119392339,0.04739016598463494,1305.8318045971132,0.16038999794511183,-393.02488700208437,-0.046235126096747334,0.005155689225037539,0.0015941587622634273
historyTrade_eventCombo_AltD-12_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,157427.26144182,583,280538.16442155,-123110.90297972997,259,0.444253859348199,319,0.5471698113207547,6528.729854430003,0.7952460383653048,-1962.722992500003,-0.2083333333333336,270.02960796195543,0.03456434104355632,1083.1589359905406,0.13376696543020133,-385.92759554774284,-0.04543772168661071,0.004881200625598928,0.0020986150466231765
historyTrade_eventCombo_AltD-13_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,222540.1600536754,1313,468071.16526617,-245531.00521249464,541,0.412033511043412,768,0.584920030464585,5452.919999999999,0.6793119015008714,-2112.975203039998,-0.2152664269369074,169.48984010180914,0.02153676154272861,865.1962389393161,0.10616465411568703,-319.7018297037691,-0.0379652473580521,0.001921660388289617,0.0006524263783124047
historyTrade_eventCombo_AltD-14_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,1019888.5006481472,2713,1453949.879122989,-434061.3784748417,1399,0.5156653151492813,1310,0.48286030224843346,20031.66526199999,2.4042553191489344,-2371.021839280002,-0.23825000000000016,375.92646540661525,0.046506854985963915,1039.277969351672,0.12691402729259105,-331.3445637212532,-0.03922108901176697,0.0009105609883412453,0.0003975978754061663
historyTrade_eventCombo_AltD-15_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,791761.871791089,1936,1103176.9555075308,-311415.0837164419,1027,0.5304752066115702,906,0.46797520661157027,20031.66526199999,2.4042553191489344,-2217.5267399999975,-0.2282859338970021,408.9679089830005,0.05047960558520616,1074.1742507376152,0.13089186817419934,-343.72525796516766,-0.04050489205512537,0.0011995705201103097,0.0005519462496227416
historyTrade_eventCombo_AltD-16_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,639541.0595325353,1253,812724.5561768017,-173183.4966442665,727,0.5802075019952115,524,0.41819632881085395,11464.130061119995,1.3718487394957977,-2371.021839280002,-0.23825000000000016,510.4078687410497,0.06323077460361118,1117.9154830492457,0.1370406414788851,-330.5028561913483,-0.038932033925237856,0.0012687084577717674,0.0011620310268387404
historyTrade_eventCombo_AltD-17_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,446965.7360497549,2731,943437.3933579703,-496471.6573082154,1131,0.41413401684364703,1589,0.581838154522153,7010.92818112,0.8759374999999999,-2021.1430881599977,-0.2125237191650852,163.66376274249538,0.020671640920385374,834.1621515101417,0.10223574759521321,-312.44283027578064,-0.037240012068353485,0.0008942459075908467,0.0002552052670881158
historyTrade_eventCombo_AltD-18_Fltr-notequal-0_W-1.0_t1_1_t2_20_noisyStandard_1_takeProfit_100_takeLoss_-0.05,428391.8602523062,2730,967516.42843151,-539124.5681792039,1125,0.41208791208791207,1597,0.584981684981685,9926.26704012,1.2833957553058675,-2429.0604687800005,-0.23913043478260873,156.9200953305151,0.02011236937698644,860.0146030502311,0.10653273620700728,-337.5858285405159,-0.04066534742248604,0.0010565924581398657,0.0003139563195731705
